2886, 25636.172802658264
8746, 26222.704593980285
8110, 26112.046259730596
0342, 25703.629210770323
7503, 26694.13013962748
8128, 26117.43987819737
4523, 25883.321018399132
6610, 26382.03821035876
8777, 26161.996134689085
7955, 25984.527671975142
6887, 26203.962970125893
9235, 26034.842485607955
1093, 25864.41903374781
5433, 26788.285629646958
2424, 25595.616437335626
0525, 26563.026766713905
6070, 26264.653742434744
5639, 25950.10967670466
8770, 25816.316951717454
9803, 26436.33088496711
7999, 26400.54078041689
9669, 25826.478522083802
3161, 25850.756282821778
4182, 26128.139894211643
0146, 25796.20513954915
9259, 15537.050855189931
4310, 26168.223994428925
3135, 25988.289260113295
2013, 26424.06594833035
5460, 26622.568015639506
6820, 25864.02478406124
4787, 26078.943755561602
5003, 26795.742077713247
4125, 26693.423836218084
4919, 26558.969796322064
6024, 26625.14103717812
1830, 25943.885887094337
8181, 26660.49979448655
9605, 26486.0162747806
6482, 26660.09970677039
3560, 26144.649814551412
6644, 26871.844505655612
3907, 26171.987354092696
2819, 26800.078867515684
9634, 26581.904693640365
8978, 15512.101746867202
9491, 26498.50638944807
3709, 25476.305304706606
7534, 26585.723889820245
5263, 26183.408029471866
8588, 25970.67603978853
3160, 26775.831675829475
1405, 26078.193623851254
1059, 26363.093385849752
8782, 26110.437641892815
8544, 25883.998751180316
5290, 26040.891317870886
6243, 26992.29479510827
5264, 26530.23720160991
1639, 26626.84734276063
4945, 26216.577678652862
8740, 26342.729946598814
9692, 26416.52795708772
6275, 25835.628406786273
1050, 26268.350854606
6611, 25931.889338718818
5094, 26431.541886185605
1606, 26393.27917287105
7737, 26233.261489453547
2413, 25821.02433319069
8915, 25993.826508293787
1898, 25794.716608258026
2289, 26789.889595898418
7502, 26493.535210256996
4989, 26054.552793209048
6616, 26568.397400475416
9894, 26361.196601000265
0317, 26726.722166265074
9860, 26507.971888479762
1231, 26326.614814344844
4743, 26381.467786158013
7569, 26597.856951333142
8521, 25881.831521505013
4318, 26178.50701435366
3105, 26229.373644792115
0774, 15490.600601722965
5450, 26185.129826855693
7135, 26661.67575559223
9400, 26141.71993662909
1209, 26375.179999990498
8142, 25868.75907098464
3765, 25871.031382980087
2643, 26390.016878995582
5654, 27434.854879159528
8977, 25777.77574868112
9260, 25805.797378244803
8948, 26206.051761153394
0319, 26153.248868862174
5459, 26560.994296866014
5653, 26412.09035461641
7938, 26350.279052434715
9856, 26373.456453572577
1809, 27118.71091941981
6446, 26297.7791593027
8341, 26241.596514539662
8517, 26568.398995235526
8187, 26344.514299302296
1944, 25771.366594582705
9315, 25872.050884754426
4852, 26034.883894316416
2399, 26265.63494983748
0608, 26551.248082111768
3046, 26336.438407024965
2352, 26492.951080210416
5345, 25632.845759086187
7872, 26271.87799483976
5987, 26503.463294127836
5342, 26789.577888324526
5514, 26118.424818871437
1386, 26750.63560703173
0254, 26001.499777943678
4432, 26282.914789840608
6157, 26486.097543456974
4264, 26752.404113732864
3273, 26510.593249591544
6701, 26159.02528315069
9586, 25991.299011290215
2952, 26319.504087320383
7078, 26343.94345759842
8202, 26359.094052882094
9740, 26224.936023713322
7047, 26323.03990310951
2151, 26368.766430528725
7611, 26341.83151157994
6737, 25947.087335525215
3413, 26032.344894064277
9915, 26218.23436381246
4636, 26464.458538852472
9323, 26375.59405839364
4890, 26337.074446746206
1515, 26136.69099518846
7424, 26777.068767340592
8894, 26455.290143046797
7484, 26603.941495492494
4691, 26638.037319601808
7014, 26348.275742043832
8251, 26087.508229686875
2901, 26937.268634326952
8867, 26838.08982417512
2939, 26262.894801736016
0494, 26640.57264420863
2595, 25929.21135947236
7448, 26714.805709916258
0807, 15340.676943893142
7810, 26096.218193367273
3820, 26215.679632900803
2301, 26334.083285127996
4492, 26266.04127929439
9379, 26611.50749122554
6755, 25930.29060482963
3227, 26780.213678955268
4005, 25813.62829178248
2796, 25726.955105681704
0809, 26918.57297442433
2762, 26202.786738204966
8856, 26134.215379491445
4208, 15496.778537763445
9517, 25836.42912839939
6799, 26004.047952205372
8431, 26337.02122240808
8869, 25968.617710840197
7821, 15696.058362568088
5578, 15691.19406389047
0836, 26423.286131833138
2954, 26837.85342270215
8452, 26330.90754637642
2168, 26274.855718102557
3872, 26833.3580257923
6193, 26574.654373740705
5716, 26517.646408581844
7889, 26765.877616458776
1342, 26135.966053774682
3071, 25702.16109611774
4254, 26597.770548969056
4298, 26693.706279939124
5944, 26508.244580151444
4061, 26750.412055296485
3076, 26522.16076736101
1721, 26563.075759206822
6160, 26547.11635500435
6352, 26403.90523237051
2534, 27330.910192708983
0263, 26317.221041526074
0051, 26613.734214007203
0435, 26333.975334165672
5147, 26550.148315384475
4095, 26522.46071782044
3082, 26509.931053970806
0864, 26449.198815204283
7873, 25803.625356856264
5972, 26120.680268501408
3286, 25938.436249022423
0631, 26337.551283420187
4291, 26364.476777788957
0255, 26127.21423799455
0863, 26055.927039008187
7880, 26283.1662541959
9126, 26533.225295782715
4639, 26789.577888324526
5981, 26197.48502415498
6738, 26669.44741221036
7245, 26406.858243926694
1380, 26374.630816810644
7413, 26600.65948906034
0404, 15317.016338203166
4262, 26637.066674692094
3275, 26522.528008356025
5182, 26259.67629160484
6363, 15732.90353561954
4434, 26162.279987461658
9925, 25821.18585728578
9119, 26687.628659001693
5546, 26376.88767979653
4838, 26127.808528060836
1744, 26274.159447515332
8430, 26437.484359604
5579, 26510.93070603064
3014, 25905.921794879807
6566, 25967.459670883338
4493, 26757.164186163573
7216, 25832.822133137972
5773, 26482.163239789435
9723, 26256.879645829482
